==============================================
RELATÓRIO COMPLETO DO WIZARD
DATA: 16-02-2026
==============================================

Nota: Para jogos de 15 dezenas, a média esperada por acaso é ~9 acertos.
O foco aqui é tentar aumentar a ocorrência de 11/12+ (cauda), além do alvo 14/15.

------------ BACKTEST — MODO AGRESSIVO ------------
========================================================
BACKTEST — MODO AGRESSIVO
========================================================

Recorte analisado: últimos 501 concursos

Ranking PRINCIPAL (ALVO 14/15):
Prioridade: (qtd_14plus) > score_alvo > 13+ > max > média
score_alvo = 100*(15) + 40*(14) + 10*(13) + 2*(12) + 0*(11)

 jogo  qtd_14plus  prob_14plus  prob_15  score_alvo  score_alvo_por100  score_13plus  media_acertos  max_acertos  min_acertos  11.0  12.0  13.0  14.0  15.0
Jogo 07: 02 04 07 08 09 11 12 13 15 17 20 21 22 23 25
Jogo 08: 01 06 07 08 09 11 14 15 16 17 19 20 23 24 25
Jogo 09: 01 02 03 05 09 10 12 13 15 18 19 21 22 23 24
Jogo 10: 01 03 05 06 08 10 12 13 14 17 19 20 21 23 25
Jogo 11: 02 03 04 05 07 11 13 14 16 17 18 20 21 22 24
Jogo 12: 04 05 06 08 09 10 12 15 16 17 18 20 21 23 24
Jogo 13: 01 02 03 05 06 07 09 10 11 12 16 17 18 24 25
Jogo 14: 02 03 04 05 07 08 09 10 13 14 15 16 19 20 23
Jogo 15: 01 04 06 07 08 10 11 13 15 16 19 21 22 23 25
Jogo 16: 01 02 04 06 09 11 12 15 17 18 19 21 22 24 25
Jogo 17: 01 03 06 07 08 11 12 13 15 18 20 22 23 24 25
Jogo 18: 02 04 05 06 08 10 11 14 15 17 19 20 21 22 25
Jogo 19: 01 02 04 06 07 10 11 13 14 17 20 22 23 24 25
Jogo 20: 01 04 05 08 09 10 11 14 15 18 19 22 23 24 25
Jogo 21: 01 03 04 05 07 10 11 12 15 17 20 21 22 24 25
Jogo 22: 02 03 04 06 07 12 14 15 16 17 19 21 22 23 25
Jogo 23: 03 04 06 08 09 11 13 14 15 18 19 20 21 23 25
Jogo 24: 02 05 06 08 09 10 11 13 15 16 20 22 23 24 25
Jogo 25: 01 04 06 07 09 10 11 12 14 16 19 20 21 22 24
Jogo 26: 01 02 04 05 09 10 12 14 15 16 20 21 22 23 25
Jogo 27: 01 02 03 06 09 11 13 16 17 18 20 21 22 23 25
Jogo 28: 01 02 05 07 08 12 13 15 16 17 19 22 23 24 25
Jogo 29: 01 03 05 06 07 10 11 14 17 18 19 21 22 23 24
Jogo 30: 02 03 07 08 09 11 13 14 15 16 19 21 22 24 25
Jogo 31: 04 05 06 07 09 10 12 14 17 18 19 20 22 23 25
Jogo 32: 01 03 04 05 07 10 11 13 16 18 19 20 23 24 25
Jogo 33: 02 03 05 06 09 12 13 14 15 17 20 21 22 24 25
Jogo 34: 01 02 05 07 08 10 12 14 15 18 19 20 21 24 25
Jogo 35: 01 02 03 06 07 13 14 15 16 18 19 20 21 23 24
Jogo 36: 02 03 05 08 09 11 12 14 17 18 19 21 22 23 25
Jogo 37: 02 03 04 06 07 09 10 11 15 16 18 19 22 23 24
Jogo 38: 01 04 05 06 08 09 11 12 13 16 18 19 20 22 23
Jogo 39: 03 04 05 06 08 11 12 13 15 16 17 19 21 22 24
Jogo 40: 01 02 04 05 08 10 11 12 13 17 18 21 23 24 25
Jogo 41: 01 03 04 08 09 11 12 13 14 16 17 20 21 24 25
Jogo 42: 02 04 05 07 08 09 10 12 13 16 18 19 21 22 25
Jogo 43: 02 03 07 08 09 10 12 13 14 17 18 19 20 22 24
Jogo 44: 01 02 03 04 07 09 11 12 14 15 17 18 20 23 24
Jogo 45: 01 02 04 05 06 08 09 10 13 14 16 17 19 22 24
Jogo 46: 01 03 04 06 07 09 10 12 13 14 15 19 23 24 25
Jogo 47: 02 03 05 06 07 08 10 11 12 16 18 20 21 22 23
Jogo 48: 01 02 03 06 08 10 11 12 14 15 16 18 19 23 25
Jogo 49: 01 03 04 06 07 09 10 12 13 15 16 17 18 20 22
Jogo 50: 02 04 05 06 08 09 11 13 15 16 17 18 21 22 23
Jogo 51: 01 03 04 06 09 10 11 14 15 17 20 21 22 23 25
Jogo 52: 01 04 05 06 09 11 12 13 15 17 20 22 23 24 25

Boa sorte! 🍀


------------ JOGOS GERADOS — CONSERVADOR ------------
==============================================
WIZARD LOTOFÁCIL - CLI
==============================================
Base histórica: base/base_limpa.xlsx
Modo: conservador
Últimos: 501 concursos
Jogos finais desejados: 52
Candidatos (amostragem): 300000
Preset: cobertura (param: auto)
Bandas: soft
==============================================

🔍 Lendo combinações de: combinacoes/combinacoes_inteligentes.csv
Modo: conservador | Jogos finais desejados: 52
Candidatos (amostragem): 300000
Preset: cobertura (param: auto)
Bandas: soft

========================================
        JOGOS GERADOS PELO WIZARD       
========================================
Modo: conservador
Jogos finais: 52
Preset: cobertura (param: auto)
Bandas: soft

Jogo 01: 01 05 06 07 09 10 11 13 14 15 18 20 21 22 25
Jogo 02: 01 02 03 04 08 10 11 12 16 17 19 20 22 23 24
